"","bioguide_id","chamber","state_name","state_abbrev","party","district_code","name","nominate_dim1","nominate_dim2"
"56","P000613","House","California","CA","Democrat",20,"Panetta, James Varni",-0.304,0.08
"57","G000585","House","California","CA","Democrat",34,"Gomez, Jimmy",-0.579,-0.149
"58","H001090","House","California","CA","Democrat",10,"Harder, Josh",-0.391,0.735
"59","L000593","House","California","CA","Democrat",49,"Levin, Mike",-0.369,0.193
"60","P000618","House","California","CA","Democrat",45,"Porter, Katie",-0.186,-0.117
"61","G000061","House","California","CA","Republican",25,"Garcia, Mike",0.386,0.074
"62","J000305","House","California","CA","Democrat",53,"Jacobs, Sara",-0.353,-0.498
"63","K000397","House","California","CA","Republican",39,"Kim, Young",0.26,0.234
"64","O000019","House","California","CA","Republican",8,"Obernolte, Jay",0.286,0.42
"65","S001135","House","California","CA","Republican",48,"Steel, Michelle",0.354,0.333
"66","W000187","House","California","CA","Democrat",43,"Waters, Maxine",-0.655,-0.076
"67","E000215","House","California","CA","Democrat",18,"Eshoo, Anna Georges",-0.381,-0.419
"68","R000486","House","California","CA","Democrat",40,"Roybal-Allard, Lucille",-0.469,-0.18
"69","C000059","House","California","CA","Republican",42,"Calvert, Ken",0.35,0.226
"70","L000397","House","California","CA","Democrat",19,"Lofgren, Zoe",-0.402,-0.437
"71","S000344","House","California","CA","Democrat",30,"Sherman, Brad",-0.343,-0.144
"72","L000551","House","California","CA","Democrat",13,"Lee, Barbara",-0.681,-0.584
"73","T000460","House","California","CA","Democrat",5,"Thompson, Michael",-0.395,0.066
"74","N000179","House","California","CA","Democrat",32,"Napolitano, Grace Flores",-0.448,-0.246
"75","L000564","House","Colorado","CO","Republican",5,"Lamborn, Doug",0.674,0.214
"76","P000593","House","Colorado","CO","Democrat",7,"Perlmutter, Ed",-0.282,0.076
"77","B001297","House","Colorado","CO","Republican",4,"Buck, Kenneth Robert",0.725,-0.434
"78","C001121","House","Colorado","CO","Democrat",6,"Crow, Jason",-0.276,0.368
"79","N000191","House","Colorado","CO","Democrat",2,"Neguse, Joseph",-0.381,-0.404
"80","B000825","House","Colorado","CO","Republican",3,"Boebert, Lauren",0.796,-0.513
"81","D000197","House","Colorado","CO","Democrat",1,"Degette, Diana",-0.431,-0.31
"82","C001069","House","Connecticut","CT","Democrat",2,"Courtney, Joe",-0.343,0.015
"83","H001047","House","Connecticut","CT","Democrat",4,"Himes, James A.",-0.242,-0.234
"84","H001081","House","Connecticut","CT","Democrat",5,"Hayes, Jahana",-0.363,-0.092
"85","D000216","House","Connecticut","CT","Democrat",3,"Delauro, Rosa L.",-0.416,-0.119
"86","L000557","House","Connecticut","CT","Democrat",1,"Larson, John B.",-0.397,-0.049
"87","B001303","House","Delaware","DE","Democrat",1,"Blunt Rochester, Lisa",-0.333,-0.126
"88","D000600","House","Florida","FL","Republican",25,"Diaz-Balart, Mario",0.282,0.125
"89","W000797","House","Florida","FL","Democrat",23,"Wasserman Schultz, Debbie",-0.42,0.072
"90","C001066","House","Florida","FL","Democrat",14,"Castor, Kathy",-0.438,0.049
"91","B001260","House","Florida","FL","Republican",16,"Buchanan, Vernon G.",0.361,-0.121
"92","B001257","House","Florida","FL","Republican",12,"Bilirakis, Gus",0.404,0.026
"93","P000599","House","Florida","FL","Republican",8,"Posey, Bill",0.527,-0.336
"94","D000610","House","Florida","FL","Democrat",22,"Deutch, Theodore E. (Ted)",-0.401,-0.085
"95","W000806","House","Florida","FL","Republican",11,"Webster, Daniel A.",0.514,-0.053
"96","W000808","House","Florida","FL","Democrat",24,"Wilson, Frederica",-0.478,-0.018
"97","F000462","House","Florida","FL","Democrat",21,"Frankel, Lois",-0.401,-0.079
"98","C001111","House","Florida","FL","Democrat",13,"Crist, Charlie Joseph Jr.",-0.224,0.064
"99","D000627","House","Florida","FL","Democrat",10,"Demings, Valdez Butler",-0.328,-0.032
"100","D000628","House","Florida","FL","Republican",2,"Dunn, Neal Patrick",0.522,0.295
"101","G000578","House","Florida","FL","Republican",1,"Gaetz, Matthew L. Ii",0.622,-0.623
"102","L000586","House","Florida","FL","Democrat",5,"Lawson, Alfred Jr.",-0.259,0.063
"103","M001199","House","Florida","FL","Republican",18,"Mast, Brian Jeffery",0.455,-0.373
"104","M001202","House","Florida","FL","Democrat",7,"Murphy, Stephanie",-0.16,0.094
"105","R000609","House","Florida","FL","Republican",4,"Rutherford, John Henry",0.424,0.082
"106","S001200","House","Florida","FL","Democrat",9,"Soto, Darren Michael",-0.376,0.127
"107","S001214","House","Florida","FL","Republican",17,"Steube, William",0.675,-0.292
"108","W000823","House","Florida","FL","Republican",6,"Waltz, Michael",0.414,-0.078
"109","C001039","House","Florida","FL","Republican",3,"Cammack, Kat",0.66,-0.133
"110","D000032","House","Florida","FL","Republican",19,"Donalds, Byron",0.681,-0.124
"111","F000472","House","Florida","FL","Republican",15,"Franklin, C. Scott",0.596,0.412
"112","G000593","House","Florida","FL","Republican",26,"Gimenez, Carlos A.",0.295,0.11
"113","S000168","House","Florida","FL","Republican",27,"Salazar, Maria Elvira",0.281,-0.001
"114","C001127","House","Florida","FL","Democrat",20,"Cherfilus-Mccormick, Sheila",-0.662,0.006
"115","H000324","House","Florida","FL","Democrat",20,"Hastings, Alcee Lamar",-0.564,0.157
"116","S001157","House","Georgia","GA","Democrat",13,"Scott, David",-0.302,0.163
"117","J000288","House","Georgia","GA","Democrat",4,"Johnson, Hank",-0.469,0.002
"118","S001189","House","Georgia","GA","Republican",8,"Scott, Austin",0.564,0.211
"119","C001103","House","Georgia","GA","Republican",1,"Carter, Buddy",0.58,0.287
"120","H001071","House","Georgia","GA","Republican",10,"Hice, Jody Brownlow",0.79,-0.19
"121","L000583","House","Georgia","GA","Republican",11,"Loudermilk, Barry D.",0.688,-0.005
"122","A000372","House","Georgia","GA","Republican",12,"Allen, Rick W.",0.695,0.262
"123","F000465","House","Georgia","GA","Republican",3,"Ferguson, Anderson Drew Iv",0.602,0.131
"124","M001208","House","Georgia","GA","Democrat",6,"Mcbath, Lucy",-0.271,0.388
"125","B001312","House","Georgia","GA","Democrat",7,"Bourdeaux, Carolyn",-0.356,0.686
"126","C001116","House","Georgia","GA","Republican",9,"Clyde, Andrew S.",0.776,-0.159
"127","G000596","House","Georgia","GA","Republican",14,"Greene, Marjorie Taylor",0.8,-0.6
"128","W000788","House","Georgia","GA","Democrat",5,"Williams, Nikema",-0.352,-0.386
"129","B000490","House","Georgia","GA","Democrat",2,"Bishop, Sanford Dixon, Jr.",-0.283,0.461
"130","C001055","House","Hawaii","HI","Democrat",1,"Case, Ed",-0.196,-0.104
"131","K000396","House","Hawaii","HI","Democrat",2,"Kahele, Kaialiʻi",-0.409,0.069
"132","F000469","House","Idaho","ID","Republican",1,"Fulcher, Russell",0.637,0.039
"133","S001148","House","Idaho","ID","Republican",2,"Simpson, Michael K.",0.297,0.287
"134","F000454","House","Illinois","IL","Democrat",11,"Foster, Bill",-0.23,-0.221
"135","Q000023","House","Illinois","IL","Democrat",5,"Quigley, Mike",-0.322,-0.269
"136","K000378","House","Illinois","IL","Republican",16,"Kinzinger, Adam",0.247,0.372
"137","S001190","House","Illinois","IL","Democrat",10,"Schneider, Brad",-0.179,-0.172
"138","D000619","House","Illinois","IL","Republican",13,"Davis, Rodney",0.274,0.176
"139","B001286","House","Illinois","IL","Democrat",17,"Bustos, Cheri",-0.238,0.049
"140","K000385","House","Illinois","IL","Democrat",2,"Kelly, Robin L.",-0.461,-0.01
"141","B001295","House","Illinois","IL","Republican",12,"Bost, Mike",0.282,0.448
"142","L000585","House","Illinois","IL","Republican",18,"Lahood, Darin",0.464,0.201
"143","K000391","House","Illinois","IL","Democrat",8,"Krishnamoorthi, S. Raja",-0.318,-0.106
"144","C001117","House","Illinois","IL","Democrat",6,"Casten, Sean",-0.571,0.393
"145","G000586","House","Illinois","IL","Democrat",4,"García, Jesús",-0.488,-0.783
"146","U000040","House","Illinois","IL","Democrat",14,"Underwood, Lauren",-0.536,0.617
"147","M001211","House","Illinois","IL","Republican",15,"Miller, Mary E.",0.821,-0.323
"148","N000192","House","Illinois","IL","Democrat",3,"Newman, Marie",-0.619,-0.137
"149","R000515","House","Illinois","IL","Democrat",1,"Rush, Bobby L.",-0.479,-0.203
"150","D000096","House","Illinois","IL","Democrat",7,"Davis, Danny K.",-0.486,-0.265
"151","S001145","House","Illinois","IL","Democrat",9,"Schakowsky, Janice D.",-0.604,-0.268
"152","C001072","House","Indiana","IN","Democrat",7,"Carson, André",-0.429,0.056
"153","B001275","House","Indiana","IN","Republican",8,"Bucshon, Larry",0.409,0.261
"154","W000813","House","Indiana","IN","Republican",2,"Walorski, Jackie",0.427,0.331
"155","B001299","House","Indiana","IN","Republican",3,"Banks, James E.",0.641,0.018
"156","H001074","House","Indiana","IN","Republican",9,"Hollingsworth, Joseph Albert Iii",0.414,-0.246
"157","B001307","House","Indiana","IN","Republican",4,"Baird, James",0.464,0.41
"158","P000615","House","Indiana","IN","Republican",6,"Pence, Gregory",0.485,0.317
"159","M001214","House","Indiana","IN","Democrat",1,"Mrvan, Frank J.",-0.273,0.111
"160","S000929","House","Indiana","IN","Republican",5,"Spartz, Victoria",0.433,-0.03
"161","A000378","House","Iowa","IA","Democrat",3,"Axne, Cynthia",-0.243,0.548
"162","F000446","House","Iowa","IA","Republican",4,"Feenstra, Randy",0.439,0.234
"163","H001091","House","Iowa","IA","Republican",1,"Hinson, Ashley",0.39,0.016
"164","M001215","House","Iowa","IA","Republican",2,"Miller-Meeks, Mariannette",0.288,0.403
"165","E000298","House","Kansas","KS","Republican",4,"Estes, Ron",0.62,0.069
"166","D000629","House","Kansas","KS","Democrat",3,"Davids, Sharice",-0.255,0.236
"167","L000266","House","Kansas","KS","Republican",2,"Laturner, Jake",0.522,0.453
"168","M000871","House","Kansas","KS","Republican",1,"Mann, Tracey",0.707,0.324
"169","R000395","House","Kentucky","KY","Republican",5,"Rogers, Harold Dallas (Hal)",0.338,0.116
"170","Y000062","House","Kentucky","KY","Democrat",3,"Yarmuth, John",-0.378,-0.269
"171","G000558","House","Kentucky","KY","Republican",2,"Guthrie, Brett",0.42,0.276
"172","B001282","House","Kentucky","KY","Republican",6,"Barr, Garland H. (Andy) Iv",0.483,0.309
"173","C001108","House","Kentucky","KY","Republican",1,"Comer, James",0.6,-0.025
"174","M001184","House","Kentucky","KY","Republican",4,"Massie, Thomas",0.679,-0.734
"175","S001176","House","Louisiana","LA","Republican",1,"Scalise, Steve",0.557,0.166
"176","R000588","House","Louisiana","LA","Democrat",2,"Richmond, Cedric",-0.486,0.332
"177","G000577","House","Louisiana","LA","Republican",6,"Graves, Garret",0.451,-0.024
"178","H001077","House","Louisiana","LA","Republican",3,"Higgins, Clay",0.613,-0.275
"179","J000299","House","Louisiana","LA","Republican",4,"Johnson, Mike",0.562,-0.019
"180","L000595","House","Louisiana","LA","Republican",5,"Letlow, Julia",0.413,0.56
"181","C001125","House","Louisiana","LA","Democrat",2,"Carter, Troy",-0.335,-0.074
"182","P000597","House","Maine","ME","Democrat",1,"Pingree, Chellie",-0.419,-0.386
"183","G000592","House","Maine","ME","Democrat",2,"Golden, Jared",-0.113,0.327
"184","H000874","House","Maryland","MD","Democrat",5,"Hoyer, Steny Hamilton",-0.381,0.118
"185","M000687","House","Maryland","MD","Democrat",7,"Mfume, Kweisi",-0.447,-0.416
"186","R000576","House","Maryland","MD","Democrat",2,"Ruppersberger, C. A. (Dutch)",-0.296,0.131
"187","S001168","House","Maryland","MD","Democrat",3,"Sarbanes, John",-0.467,-0.07
"188","H001052","House","Maryland","MD","Republican",1,"Harris, Andy",0.669,-0.39
"189","B001304","House","Maryland","MD","Democrat",4,"Brown, Anthony Gregory",-0.338,-0.109
"190","R000606","House","Maryland","MD","Democrat",8,"Raskin, Jamie Ben",-0.539,-0.258
"191","T000483","House","Maryland","MD","Democrat",6,"Trone, David",-0.265,0.065
"192","N000015","House","Massachusetts","MA","Democrat",1,"Neal, Richard Edmund",-0.417,-0.107
"193","L000562","House","Massachusetts","MA","Democrat",8,"Lynch, Stephen F.",-0.35,0.041
"194","K000375","House","Massachusetts","MA","Democrat",9,"Keating, William R.",-0.329,-0.123
"195","C001101","House","Massachusetts","MA","Democrat",5,"Clark, Katherine M.",-0.482,-0.368
"196","M001196","House","Massachusetts","MA","Democrat",6,"Moulton, Seth",-0.284,-0.063
"197","P000617","House","Massachusetts","MA","Democrat",7,"Pressley, Ayanna",-0.313,-0.95
"198","T000482","House","Massachusetts","MA","Democrat",3,"Trahan, Lori",-0.471,-0.1
"199","A000148","House","Massachusetts","MA","Democrat",4,"Auchincloss, Jake",-0.291,-0.535
"200","M000312","House","Massachusetts","MA","Democrat",2,"Mcgovern, James P.",-0.539,-0.308
"201","U000031","House","Michigan","MI","Republican",6,"Upton, Frederick Stephen",0.329,-0.371
"202","W000798","House","Michigan","MI","Republican",7,"Walberg, Tim",0.513,0.091
"203","H001058","House","Michigan","MI","Republican",2,"Huizenga, Bill",0.568,-0.056
"204","K000380","House","Michigan","MI","Democrat",5,"Kildee, Dan",-0.39,-0.22
"205","M001194","House","Michigan","MI","Republican",4,"Moolenaar, John",0.399,0.418
"206","D000624","House","Michigan","MI","Democrat",12,"Dingell, Debbie",-0.405,-0.136
"207","L000581","House","Michigan","MI","Democrat",14,"Lawrence, Brenda L",-0.446,-0.026
"208","B001301","House","Michigan","MI","Republican",1,"Bergman, John",0.436,0.092
"209","L000592","House","Michigan","MI","Democrat",9,"Levin, Andy",-0.475,-0.557
"210","S001208","House","Michigan","MI","Democrat",8,"Slotkin, Elissa",-0.314,0.808
"211","S001215","House","Michigan","MI","Democrat",11,"Stevens, Haley",-0.344,0.376
"212","T000481","House","Michigan","MI","Democrat",13,"Tlaib, Rashida",-0.258,-0.966
"213","M001136","House","Michigan","MI","Republican",10,"Mcclain, Lisa C.",0.513,0.395
"214","M001186","House","Michigan","MI","Republican",3,"Meijer, Peter",0.245,0.143
"215","M001143","House","Minnesota","MN","Democrat",4,"Mccollum, Betty",-0.418,-0.187
"216","E000294","House","Minnesota","MN","Republican",6,"Emmer, Thomas Earl Ii",0.45,-0.041
"217","C001119","House","Minnesota","MN","Democrat",2,"Craig, Angela",-0.307,0.691
"218","H001088","House","Minnesota","MN","Republican",1,"Hagedorn, Jim",0.477,0.345
"219","O000173","House","Minnesota","MN","Democrat",5,"Omar, Ilhan",-0.29,-0.957
"220","P000616","House","Minnesota","MN","Democrat",3,"Phillips, Dean",-0.264,0.161
"221","S001212","House","Minnesota","MN","Republican",8,"Stauber, Peter",0.311,0.108
"222","F000470","House","Minnesota","MN","Republican",7,"Fischbach, Michelle",0.505,0.375
"223","P000601","House","Mississippi","MS","Republican",4,"Palazzo, Steven",0.534,0.502
"224","K000388","House","Mississippi","MS","Republican",1,"Kelly, Trent",0.63,0.252
"225","G000591","House","Mississippi","MS","Republican",3,"Guest, Michael",0.511,0.186
"226","T000193","House","Mississippi","MS","Democrat",2,"Thompson, Bennie",-0.516,0.399
"227","G000546","House","Missouri","MO","Republican",6,"Graves, Samuel",0.445,0.181
"228","C001061","House","Missouri","MO","Democrat",5,"Cleaver, Emanuel, Ii",-0.454,0.017
"229","L000569","House","Missouri","MO","Republican",3,"Luetkemeyer, Blaine",0.442,0.259
"230","H001053","House","Missouri","MO","Republican",4,"Hartzler, Vicky",0.467,0.282
"231","L000576","House","Missouri","MO","Republican",7,"Long, Billy",0.545,0.241
"232","W000812","House","Missouri","MO","Republican",2,"Wagner, Ann",0.431,0.15
"233","S001195","House","Missouri","MO","Republican",8,"Smith, Jason",0.596,0.178
"234","B001224","House","Missouri","MO","Democrat",1,"Bush, Cori",-0.239,-0.971
"235","R000103","House","Montana","MT","Republican",1,"Rosendale, Matthew M., Sr.",0.765,-0.493
"236","F000449","House","Nebraska","NE","Republican",1,"Fortenberry, Jeff",0.303,-0.06
"237","S001172","House","Nebraska","NE","Republican",3,"Smith, Adrian",0.517,0.199
"238","B001298","House","Nebraska","NE","Republican",2,"Bacon, Donald J.",0.374,-0.078
"239","T000468","House","Nevada","NV","Democrat",1,"Titus, Alice (Dina)",-0.304,-0.214
"240","A000369","House","Nevada","NV","Republican",2,"Amodei, Mark E.",0.378,0.189
"241","H001066","House","Nevada","NV","Democrat",4,"Horsford, Steven",-0.35,0.114
"242","L000590","House","Nevada","NV","Democrat",3,"Lee, Susie",-0.285,0.435
"243","K000382","House","New Hampshire","NH","Democrat",2,"Kuster, Ann Mclane",-0.257,-0.117
"244","P000614","House","New Hampshire","NH","Democrat",1,"Pappas, Chris",-0.28,0.369
"245","S000522","House","New Jersey","NJ","Republican",4,"Smith, Christopher Henry",0.167,-0.167
"246","P000034","House","New Jersey","NJ","Democrat",6,"Pallone, Frank, Jr.",-0.404,-0.168
"247","S001165","House","New Jersey","NJ","Democrat",8,"Sires, Albio",-0.404,0.096
"248","N000188","House","New Jersey","NJ","Democrat",1,"Norcross, Donald",-0.427,0.328
"249","W000822","House","New Jersey","NJ","Democrat",12,"Watson Coleman, Bonnie",-0.621,-0.142
"250","G000583","House","New Jersey","NJ","Democrat",5,"Gottheimer, Josh S.",-0.148,0.235
"251","K000394","House","New Jersey","NJ","Democrat",3,"Kim, Andy",-0.298,0.414
"252","M001203","House","New Jersey","NJ","Democrat",7,"Malinowski, Tomaz",-0.269,0.115
"253","S001207","House","New Jersey","NJ","Democrat",11,"Sherrill, Mikie",-0.199,0.293
"254","P000096","House","New Jersey","NJ","Democrat",9,"Pascrell, William J., Jr.",-0.367,-0.006
"255","P000604","House","New Jersey","NJ","Democrat",10,"Payne, Donald, Jr.",-0.518,-0.108
"256","V000133","House","New Jersey","NJ","Republican",2,"Van Drew, Jefferson",0.248,-0.287
"257","H001080","House","New Mexico","NM","Democrat",1,"Haaland, Debra",-0.332,-0.233
"258","H001084","House","New Mexico","NM","Republican",2,"Herrell, Yvette",0.936,0.352
"259","L000273","House","New Mexico","NM","Democrat",3,"Leger Fernandez, Teresa",-0.397,-0.221
"260","S001218","House","New Mexico","NM","Democrat",1,"Stansbury, Melanie Ann",-0.594,-0.185
"261","H001038","House","New York","NY","Democrat",26,"Higgins, Brian",-0.348,-0.032
"262","C001067","House","New York","NY","Democrat",9,"Clarke, Yvette Diane",-0.613,-0.222
"263","T000469","House","New York","NY","Democrat",20,"Tonko, Paul",-0.421,-0.262
"264","R000585","House","New York","NY","Republican",23,"Reed, Thomas W. Ii",0.271,0.115
"265","M001188","House","New York","NY","Democrat",6,"Meng, Grace",-0.376,-0.202
"266","J000294","House","New York","NY","Democrat",8,"Jeffries, Hakeem",-0.489,-0.089
"267","M001185","House","New York","NY","Democrat",18,"Maloney, Sean Patrick",-0.238,0.115
"268","Z000017","House","New York","NY","Republican",1,"Zeldin, Lee M",0.397,-0.141
"269","R000602","House","New York","NY","Democrat",4,"Rice, Kathleen Maura",-0.286,0.038
"270","S001196","House","New York","NY","Republican",21,"Stefanik, Elise M",0.246,-0.017
"271","K000386","House","New York","NY","Republican",24,"Katko, John",0.194,-0.009
"272","E000297","House","New York","NY","Democrat",13,"Espaillat, Adriano J.",-0.615,-0.214
"273","S001201","House","New York","NY","Democrat",3,"Suozzi, Thomas",-0.216,0.081
"274","T000478","House","New York","NY","Republican",22,"Tenney, Claudia",0.385,0.196
"275","M001206","House","New York","NY","Democrat",25,"Morelle, Joseph D.",-0.358,0.133
"276","D000630","House","New York","NY","Democrat",19,"Delgado, Antonio",-0.23,0.274
"277","O000172","House","New York","NY","Democrat",14,"Ocasio-Cortez, Alexandria",-0.246,-0.969
"278","J000020","House","New York","NY","Republican",27,"Jacobs, Chris",0.335,0.089
"279","B001223","House","New York","NY","Democrat",16,"Bowman, Jamaal",-0.312,-0.95
"280","G000597","House","New York","NY","Republican",2,"Garbarino, Andrew R.",0.277,0.009
"281","J000306","House","New York","NY","Democrat",17,"Jones, Mondaire",-0.409,-0.589
"282","M000317","House","New York","NY","Republican",11,"Malliotakis, Nicole",0.257,0.265
"283","T000486","House","New York","NY","Democrat",15,"Torres, Ritchie",-0.539,-0.342
"284","N000002","House","New York","NY","Democrat",10,"Nadler, Jerrold Lewis",-0.508,-0.5
"285","V000081","House","New York","NY","Democrat",7,"Velázquez, Nydia M.",-0.547,-0.342
"286","M000087","House","New York","NY","Democrat",12,"Maloney, Carolyn Bosher",-0.387,-0.282
"287","M001137","House","New York","NY","Democrat",5,"Meeks, Gregory W.",-0.414,-0.073
"288","P000523","House","North Carolina","NC","Democrat",4,"Price, David Eugene",-0.343,-0.031
"289","B001251","House","North Carolina","NC","Democrat",1,"Butterfield, George Kenneth, Jr. (G.k.)",-0.404,0.183
"290","F000450","House","North Carolina","NC","Republican",5,"Foxx, Virginia Ann",0.627,0.136
"291","M001156","House","North Carolina","NC","Republican",10,"Mchenry, Patrick T.",0.543,0.086
"292","H001067","House","North Carolina","NC","Republican",8,"Hudson, Richard",0.558,0.108
"293","R000603","House","North Carolina","NC","Republican",7,"Rouzer, David",0.57,0.154
"294","A000370","House","North Carolina","NC","Democrat",12,"Adams, Alma",-0.466,0.029
"295","B001305","House","North Carolina","NC","Republican",13,"Budd, Theodore Paul",0.668,-0.132
"296","B001311","House","North Carolina","NC","Republican",9,"Bishop, Dan",0.715,-0.164
"297","M001210","House","North Carolina","NC","Republican",3,"Murphy, Gregory Francis",0.472,0.001
"298","C001104","House","North Carolina","NC","Republican",11,"Cawthorn, Madison",0.568,-0.106
"299","M001135","House","North Carolina","NC","Democrat",6,"Manning, Kathy E.",-0.265,0.062
"300","R000305","House","North Carolina","NC","Democrat",2,"Ross, Deborah K.",-0.376,0.23
"301","A000377","House","North Dakota","ND","Republican",1,"Armstrong, Kelly",0.48,-0.031
"302","K000009","House","Ohio","OH","Democrat",9,"Kaptur, Marcia Carolyn (Marcy)",-0.35,0.108
"303","T000463","House","Ohio","OH","Republican",10,"Turner, Michael R.",0.276,0.214
"304","R000577","House","Ohio","OH","Democrat",13,"Ryan, Timothy J.",-0.402,0.21
"305","J000289","House","Ohio","OH","Republican",4,"Jordan, Jim",0.717,-0.204
"306","L000566","House","Ohio","OH","Republican",5,"Latta, Robert E.",0.515,0.267
"307","F000455","House","Ohio","OH","Democrat",11,"Fudge, Marcia L.",-0.581,0.14
"308","J000292","House","Ohio","OH","Republican",6,"Johnson, Bill",0.426,0.275
"309","S001187","House","Ohio","OH","Republican",15,"Stivers, Steve",0.3,0.269
"310","G000563","House","Ohio","OH","Republican",7,"Gibbs, Bob",0.479,0.295
"311","W000815","House","Ohio","OH","Republican",2,"Wenstrup, Brad",0.543,0.201
"312","B001281","House","Ohio","OH","Democrat",3,"Beatty, Joyce",-0.433,0.055
"313","J000295","House","Ohio","OH","Republican",14,"Joyce, David",0.264,0.265
"314","D000626","House","Ohio","OH","Republican",8,"Davidson, Warren",0.676,-0.353
"315","B001306","House","Ohio","OH","Republican",12,"Balderson, Troy",0.418,0.379
"316","G000588","House","Ohio","OH","Republican",16,"Gonzalez, Anthony",0.263,0.289
