"","bioguide_id","chamber","state_name","state_abbrev","party","name","nominate_dim1","nominate_dim2"
"63","H001046","Senate","New Mexico","NM","Democrat","Heinrich, Martin",-0.33,-0.019
"64","L000570","Senate","New Mexico","NM","Democrat","Luján, Ben Ray",-0.368,0.017
"65","S000148","Senate","New York","NY","Democrat","Schumer, Charles Ellis (Chuck)",-0.358,-0.41
"66","G000555","Senate","New York","NY","Democrat","Gillibrand, Kirsten",-0.473,-0.426
"67","B001135","Senate","North Carolina","NC","Republican","Burr, Richard M.",0.437,-0.063
"68","T000476","Senate","North Carolina","NC","Republican","Tillis, Thomas Roland (Thom)",0.407,-0.04
"69","C001096","Senate","North Dakota","ND","Republican","Cramer, Kevin",0.402,0.345
"70","H001061","Senate","North Dakota","ND","Republican","Hoeven, John",0.37,0.397
"71","P000449","Senate","Ohio","OH","Republican","Portman, Robert Jones (Rob)",0.37,-0.218
"72","B000944","Senate","Ohio","OH","Democrat","Brown, Sherrod",-0.428,-0.109
"73","I000024","Senate","Oklahoma","OK","Republican","Inhofe, James Mountain",0.554,0.045
"74","L000575","Senate","Oklahoma","OK","Republican","Lankford, James",0.602,0.166
"75","W000779","Senate","Oregon","OR","Democrat","Wyden, Ronald Lee",-0.33,-0.478
"76","M001176","Senate","Oregon","OR","Democrat","Merkley, Jeff",-0.442,-0.736
"77","T000461","Senate","Pennsylvania","PA","Republican","Toomey, Patrick Joseph",0.624,-0.356
"78","C001070","Senate","Pennsylvania","PA","Democrat","Casey, Robert (Bob), Jr.",-0.314,0.186
"79","R000122","Senate","Rhode Island","RI","Democrat","Reed, John F. (Jack)",-0.367,-0.172
"80","W000802","Senate","Rhode Island","RI","Democrat","Whitehouse, Sheldon",-0.355,-0.082
"81","S001184","Senate","South Carolina","SC","Republican","Scott, Tim",0.63,0.003
"82","G000359","Senate","South Carolina","SC","Republican","Graham, Lindsey O.",0.386,-0.215
"83","T000250","Senate","South Dakota","SD","Republican","Thune, John",0.422,0.166
"84","R000605","Senate","South Dakota","SD","Republican","Rounds, Marion Michael (Mike)",0.375,0.076
"85","B001243","Senate","Tennessee","TN","Republican","Blackburn, Marsha",0.625,0.154
"86","H000601","Senate","Tennessee","TN","Republican","Hagerty, William Francis (Bill)",0.696,-0.167
"87","C001056","Senate","Texas","TX","Republican","Cornyn, John",0.476,-0.058
"88","C001098","Senate","Texas","TX","Republican","Cruz, Rafael Edward (Ted)",0.84,-0.263
"89","L000577","Senate","Utah","UT","Republican","Lee, Mike",0.885,-0.465
"90","R000615","Senate","Utah","UT","Republican","Romney, Willard Mitt (Mitt)",0.289,0.334
"91","L000174","Senate","Vermont","VT","Democrat","Leahy, Patrick Joseph",-0.36,-0.122
"92","S000033","Senate","Vermont","VT","Independent","Sanders, Bernard",-0.532,-0.401
"93","W000805","Senate","Virginia","VA","Democrat","Warner, Mark",-0.203,-0.039
"94","K000384","Senate","Virginia","VA","Democrat","Kaine, Timothy Michael (Tim)",-0.244,-0.056
"95","C000127","Senate","Washington","WA","Democrat","Cantwell, Maria E.",-0.305,-0.416
"96","M001111","Senate","Washington","WA","Democrat","Murray, Patty",-0.352,-0.309
"97","C001047","Senate","West Virginia","WV","Republican","Capito, Shelley Moore",0.27,0.082
"98","M001183","Senate","West Virginia","WV","Democrat","Manchin, Joe, Iii",-0.058,0.427
"99","B001230","Senate","Wisconsin","WI","Democrat","Baldwin, Tammy",-0.492,-0.137
"100","J000293","Senate","Wisconsin","WI","Republican","Johnson, Ron",0.609,-0.219
"101","L000571","Senate","Wyoming","WY","Republican","Lummis, Cynthia M.",0.683,-0.372
"102","B001261","Senate","Wyoming","WY","Republican","Barrasso, John A.",0.538,0.233
